SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
EdenCoin.sol,,102,DynaMOSA,true,0.9166666666666666,1,2,0.5,32,33,0.9696969696969697,8,8,1,14,14,1,875.5239999294281,18,108
Wallet.sol,,993,DynaMOSA,true,0.6666666666666666,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,895.6110000610352,26,102
WOLF.sol,,151,DynaMOSA,true,0.42857142857142855,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,886.7020001411438,16,102
YRX3.sol,,512,DynaMOSA,true,0.5684210526315789,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,18,34,0.5294117647058824,880.8150000572205,12,102
SLTDETHlpReward.sol,,659,DynaMOSA,true,0.5824175824175825,7,14,0.5,66,105,0.6285714285714286,36,47,0.7659574468085106,19,34,0.5588235294117647,867.6740000247955,13,102
Vat.sol,,751,DynaMOSA,true,0.5360824742268041,4,8,0.5,65,98,0.6632653061224489,27,29,0.9310344827586207,36,62,0.5806451612903226,866.2379999160767,17,102
PRDZstakingV2.sol,,807,DynaMOSA,true,0.43902439024390244,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,853.1749999523163,13,102
ZAD.sol,,756,DynaMOSA,true,0.660377358490566,0,2,0,41,66,0.6212121212121212,21,29,0.7241379310344828,14,22,0.6363636363636364,886.614000082016,28,102
EqFinanceStaking.sol,,578,DynaMOSA,true,0.3380281690140845,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,882.6280000209808,18,102
FrogDAOGovernanceRewards.sol,,525,DynaMOSA,true,0.5384615384615384,5,10,0.5,28,56,0.5,13,16,0.8125,6,16,0.375,893.2829999923706,15,102
Vat.sol,,23,DynaMOSA,true,0.5257731958762887,4,8,0.5,61,98,0.6224489795918368,27,29,0.9310344827586207,35,62,0.5645161290322581,868.4739999771118,17,42
SLTDETHlpReward.sol,,10,DynaMOSA,true,0.6153846153846154,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,867.6439998149872,13,42
FrogDAOGovernanceRewards.sol,,390,DynaMOSA,true,0.46153846153846156,5,10,0.5,27,56,0.48214285714285715,13,16,0.8125,5,16,0.3125,866.7530000209808,15,42
YRX3.sol,,657,DynaMOSA,true,0.5578947368421052,7,18,0.3888888888888889,63,108,0.5833333333333334,34,48,0.7083333333333334,18,34,0.5294117647058824,864.8870000839233,12,42
EqFinanceStaking.sol,,907,DynaMOSA,true,0.3380281690140845,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,906.6219999790192,18,42
WOLF.sol,,958,DynaMOSA,true,0.40476190476190477,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,911.1949999332428,18,42
ZAD.sol,,541,DynaMOSA,true,0.6415094339622641,0,2,0,41,66,0.6212121212121212,20,29,0.6896551724137931,14,22,0.6363636363636364,874.7869999408722,26,42
PRDZstakingV2.sol,,345,DynaMOSA,true,0.4268292682926829,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,915.7530000209808,14,42
Wallet.sol,,607,DynaMOSA,true,0.8333333333333334,0,0,0,3,6,0.5,2,2,1,3,4,0.75,878.0160000324249,24,42
GUMARewards.sol,,697,Random,false,0.6037735849056604,4,12,0.3333333333333333,51,91,0.5604395604395604,30,44,0.6818181818181818,14,30,0.4666666666666667,900.3660001754761,156,35
INS.sol,,182,Random,false,1,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,902.5770001411438,216,35
YieldFarmLP2.sol,,671,Random,false,0.38235294117647056,1,20,0.05,19,54,0.35185185185185186,12,14,0.8571428571428571,0,8,0,902.4839999675751,150,35
CryptoGhost.sol,,269,Random,false,0.6,35,40,0.875,62,77,0.8051948051948052,10,10,1,5,12,0.4166666666666667,989.579999923706,44,35
Controller.sol,,169,Random,false,0.7037037037037037,0,8,0,36,70,0.5142857142857142,18,19,0.9473684210526315,30,34,0.8823529411764706,900.9429998397827,172,35
CryptoSecureBankToken.sol,,50,Random,false,0.6727272727272727,12,26,0.46153846153846156,75,104,0.7211538461538461,32,33,0.9696969696969697,21,26,0.8076923076923077,904.7439999580383,126,35
BTCParamV2.sol,,301,Random,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,900.3669998645782,231,35
Voting.sol,,5,Random,false,0.14728682170542637,0,30,0,25,250,0.1,22,111,0.1981981981981982,9,94,0.09574468085106383,904.9539999961853,85,35
BAE.sol,,9,Random,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,910.6340000629425,96,35
Dipex.sol,,185,Random,false,0.4,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,902.3069999217987,180,35
SSTRewards.sol,,908,DynaMOSA,true,0.7307692307692307,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,869.3180000782013,15,48
