SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
EqFinanceStaking.sol,,42,DynaMOSA,true,0.3611111111111111,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1781.2820000648499,21,233,208
SLTDETHlpReward.sol,,887,DynaMOSA,true,0.631578947368421,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1672.9070000648499,14,161,208
FrogDAOGovernanceRewards.sol,,835,DynaMOSA,true,0.6666666666666666,5,10,0.5,30,56,0.5357142857142857,13,16,0.8125,9,16,0.5625,1676.643000125885,17,193,208
Wallet.sol,,607,DynaMOSA,true,0.8333333333333334,0,0,0,3,6,0.5,2,2,1,3,4,0.75,1760.726000070572,28,314,208
ZAD.sol,,278,DynaMOSA,true,0.6226415094339622,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,13,22,0.5909090909090909,1723.0820000171661,25,281,208
PRDZstakingV2.sol,,86,DynaMOSA,true,0.4457831325301205,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1675.5069999694824,15,168,208
YRX3.sol,,489,DynaMOSA,true,0.59,7,18,0.3888888888888889,64,108,0.5925925925925926,34,48,0.7083333333333334,18,34,0.5294117647058824,1689.5769999027252,15,173,208
WOLF.sol,,659,DynaMOSA,true,0.42857142857142855,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1687.9939999580383,18,205,208
Dynamic.sol,,893,DynaMOSA,true,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1712.9029998779297,20,226,192
HTDD_contract.sol,,630,DynaMOSA,true,0.9047619047619048,0,0,0,26,26,1,5,5,1,16,16,1,1695.7090001106262,17,197,192
NasiLiquidityPoolFactory.sol,,204,DynaMOSA,true,0.10655737704918032,3,50,0.06,42,320,0.13125,15,106,0.14150943396226415,8,88,0.09090909090909091,1613.4509999752045,9,99,192
AntiBaseProtocol.sol,,616,DynaMOSA,true,0.8026315789473685,3,8,0.375,82,98,0.8367346938775511,38,42,0.9047619047619048,24,26,0.9230769230769231,1797.1620001792908,16,178,192
EdenCoin.sol,,255,DynaMOSA,true,0.75,1,2,0.5,26,33,0.7878787878787878,8,8,1,11,14,0.7857142857142857,1678.295000076294,16,183,192
