SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
Liquidity_v8.sol,,678,DynaMOSA,false,0.3877551020408163,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1789.0659999847412,25,82
BirdOracle.sol,,946,DynaMOSA,false,0.6153846153846154,12,28,0.42857142857142855,41,66,0.6212121212121212,9,9,1,0,2,0,1791.983999967575,37,82
Final.sol,,366,DynaMOSA,false,0.20634920634920634,6,26,0.23076923076923078,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1762.3740000724792,21,82
BACMARSLPTOKENPool.sol,,8,DynaMOSA,false,0.5333333333333333,4,12,0.3333333333333333,49,94,0.5212765957446809,24,36,0.6666666666666666,16,30,0.5333333333333333,1761.324000120163,25,88
Cryptoz.sol,,965,DynaMOSA,false,0.43137254901960786,1,18,0.05555555555555555,32,155,0.2064516129032258,21,34,0.6176470588235294,23,74,0.3108108108108108,1681.2579998970032,10,88
AavePoolReward.sol,,309,DynaMOSA,false,0.7142857142857143,5,10,0.5,27,44,0.6136363636363636,11,12,0.9166666666666666,6,6,1,1812.9010000228882,24,88
BTCParamV2.sol,,75,DynaMOSA,true,0.25,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1768.039999961853,37,66
BAE.sol,,804,DynaMOSA,true,0.28,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1735.335000038147,15,66
Controller.sol,,433,DynaMOSA,true,0.5573770491803278,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1757.0770001411438,30,66
EqFinanceStaking.sol,,923,Random,false,0.3877551020408163,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1808.757000207901,371,11
