Group.1,Group.2,TOTAL_COVERAGE,FUNCTION_COVERAGE,BRANCH_COVERAGE,LINE_COVERAGE,PROBE_COVERAGE,ITERATIONS,TOTAL_PROBES
BancorV2_ZapIn_General_V1_1.sol,DynaMOSA_TRUE,0.2828282828282828,0.48717948717948717,0.05555555555555555,0.2542372881355932,0.19047619047619047,18.6,42
Baz.sol,DynaMOSA_TRUE,0.92,1,0.9,0.9,0,33,0
BirdOracle.sol,DynaMOSA_TRUE,0.6307692307692309,1,0.5571428571428572,0.6757575757575757,0,39.8,2
BlueICE.sol,DynaMOSA_TRUE,0.6105263157894737,0.7209302325581395,0.5,0.5726495726495726,0.5263157894736842,24.75,38
BTCParamV2.sol,DynaMOSA_TRUE,0.2619047619047619,0.3125,0,0.2857142857142857,0.42857142857142855,39.6,14
Controller.sol,DynaMOSA_TRUE,0.8360655737704918,1,0,0.5428571428571428,0.9411764705882353,31,34
Core_Fi_V3.sol,DynaMOSA_TRUE,0.8,0.875,0.65,0.7090909090909091,0,28.4,0
CourtFarming_HTStake.sol,DynaMOSA_TRUE,0.65,1,0.3875,0.671559633027523,1,27,4
CourtFarming_RoomLPStake.sol,DynaMOSA_TRUE,0.6464285714285715,1,0.38125,0.6777777777777778,1,26.8,4
Cover_ZapIn_General_V1.sol,DynaMOSA_TRUE,0.3627450980392157,0.5238095238095238,0.125,0.3023255813953488,0.29545454545454547,17.25,44
CryptoGhost.sol,DynaMOSA_TRUE,0.7903225806451613,1,0.85,0.7922077922077922,0.4166666666666667,6,12
CryptoSecureBankToken.sol,DynaMOSA_TRUE,0.7694117647058824,0.9696969696969697,0.46153846153846156,0.7230769230769231,0.823076923076923,20.2,26
Cryptoz.sol,DynaMOSA_TRUE,0.39285714285714285,0.6544117647058824,0.1111111111111111,0.29193548387096774,0.34121621621621623,10,74
DatrixoEquityToken.sol,DynaMOSA_TRUE,0.7121212121212122,0.875,0.36363636363636365,0.7419354838709677,0.8928571428571429,41.5,28
Dipex.sol,DynaMOSA_TRUE,0.5190476190476191,0.875,0.2636363636363636,0.717948717948718,0.75,33.8,12
DJCoin.sol,DynaMOSA_TRUE,0.7288135593220338,0.88,0.5,0.7582417582417582,0.6428571428571429,24.6,28
DmmControllerV2.sol,DynaMOSA_TRUE,0.19052863436123346,0.25,0.017857142857142856,0.2131782945736434,0.14950980392156862,7.5,102
DMONDETHRewards.sol,DynaMOSA_TRUE,0.6631578947368421,0.7872340425531915,0.5,0.638095238095238,0.5588235294117647,25.8,34
DSP.sol,DynaMOSA_TRUE,0.7535211267605634,0.859375,0.26666666666666666,0.687012987012987,0.7866666666666667,19,60
Dynamic.sol,DynaMOSA_TRUE,0.75,1,0.5,0.75,0,39.2,0
EdenCoin.sol,DynaMOSA_TRUE,0.8833333333333333,1,0.8,0.8424242424242424,0.8285714285714285,30.8,14
